,opportunity id,annee_cir,siren
7353,0062000000apNEH,2014.0,552096281
23737,0060O00000nEoBP,2018.0,542051180
24396,0060O00000whuto,2019.0,542051180
16391,0060O00000lot8w,2017.0,572093920
27728,0060X00000ab2FL,2019.0,652014051
33447,0060X00000mT9un,2021.0,652014051
16661,0060O00000nFJ10,2017.0,552100554
27369,0060X00000e4ScU,2019.0,552100554
17343,0060O00000pmd9Q,2017.0,383474814
13519,0062000000hPiqY,2016.0,542065479
15277,0062000000hw6Oj,2017.0,542065479
23672,0062000000hw6Oy,2018.0,542065479
24048,0060X00000bBuN5,2019.0,542065479
31558,0060X00000mdeVT,2020.0,542065479
15793,0060O00000srjwV,2017.0,542107651
24606,0060X00000anloB,2019.0,542107651
7386,0062000000YO8u3,2014.0,775670417
27859,0060X00000bjzcP,2019.0,552037806
32852,0060X00000jrUm2,2020.0,562094425
17620,0060O00000nXWcL,2017.0,554501171
24493,0060X00000hNXns,2019.0,662042449
2973,0066700000qoXuo,2020.0,542039532
21026,0060O00000tcPHm,2018.0,380129866
4496,0062000000TZhB4,2013.0,552049447
7423,0062000000W3jWM,2014.0,552049447
16600,0060O00000rcOxS,2017.0,808332670
22942,0060O00000tc8GL,2018.0,808332670
31529,0060X00000jovSo,2020.0,808332670
18139,0060O00000rB2Ja,2017.0,341737062
21500,0060O00000tcjbz,2018.0,632012100
20618,0060O00000teF2r,2018.0,789169323
18714,0060O00000mIPeK,2017.0,403210032
10957,0062000000dFgpP,2015.0,542048574
16631,0060O00000nEsLp,2017.0,552032534
20889,0060O00000ssxOX,2018.0,552032534
5419,0062000000X7UHp,2013.0,552120222
7365,0062000000ZPhwG,2014.0,552120222
11275,0062000000fto7b,2015.0,552120222
13128,0062000000jnZ0M,2016.0,552120222
11094,0062000000bRF5G,2015.0,562082909
27130,0060X00000bjzVx,2019.0,562082909
27517,0060X00000cSXbh,2019.0,356000000
21015,0060O00000rEsDf,2018.0,784608416
23783,0060O00000ui1kp,2018.0,552030967
15487,0060O00000nRqCI,2017.0,542005376
31804,0060X00000ivZY5,2020.0,542005376
18792,0060O00000nFKrT,2017.0,343134763
21212,0060O00000tc0Sg,2018.0,343134763
27343,0060X00000cRhVI,2019.0,343134763
31806,0060X00000mdf2G,2020.0,343134763
22533,0060O00000whlZe,2018.0,444608442
4188,0062000000UZT1R,2013.0,330703844
23722,0060O00000raKYd,2018.0,330703844
15811,0060O00000nXrJZ,2017.0,410409460
23781,0060O00000ssRHg,2018.0,410409460
11684,0062000000duOY5,2015.0,552045999
9696,0062000000gZAju,2015.0,304602956
7178,0060O00000nWpgR,2014.0,306138900
13072,0062000000hw4a9,2016.0,306138900
18612,0060O00000nWAh3,2017.0,306138900
20978,0060O00000tcokV,2018.0,306138900
7510,0062000000apdUC,2014.0,349004341
10373,0062000000fto88,2015.0,349004341
14468,0062000000jnZ1F,2016.0,349004341
28082,0060X00000eZukg,2019.0,502858418
5927,0062000000UZvOP,2013.0,542044524
7061,0062000000ZQxMW,2014.0,542044524
11205,0062000000ecQMh,2015.0,542044524
12897,0062000000jnZ08,2016.0,542044524
18040,0060O00000nXEUl,2017.0,542044524
20260,0060O00000stAo0,2018.0,542044524
27494,0060X00000cRhS4,2019.0,542044524
23869,0060O00000nEiPL,2018.0,445074685
1457,0066700000qs8wD,2021.0,955512611
11786,0062000000gYmrE,2015.0,775747793
18187,0060O00000ms3EE,2017.0,712042456
6859,0062000000a7Bew,2014.0,300349636
11747,0060O00000nWgnG,2015.0,542110291
13384,0060O00000nWgnQ,2016.0,542110291
19270,0060O00000nWWeD,2017.0,542110291
21434,0060O00000uhXSU,2018.0,542110291
27607,0060X00000cRhRB,2019.0,542110291
20957,0060O00000rd5YE,2018.0,532712825
28250,0060X00000cSn18,2019.0,532712825
5840,0062000000TYeuI,2013.0,408168003
5579,0062000000N5D86,2013.0,309645539
26879,0060O00000sAmFc,2019.0,799403050
27991,0060X00000anmO4,2019.0,781452511
20996,0060O00000vvu6U,2018.0,397480930
11555,0062000000dwmcV,2015.0,318571064
18642,0060O00000nWoJi,2017.0,318571064
17809,0060O00000nXNdQ,2017.0,552111809
12313,0062000000jz7QI,2016.0,775690191
28652,0060X00000iurX8,2020.0,775690191
836,0066700000qFlz4,2020.0,429707292
12660,0060O00000mF5g6,2016.0,429707292
11998,0062000000duOZS,2015.0,775690621
5535,0062000000VFakd,2013.0,998823504
18022,0060O00000pnejj,2017.0,552016628
27476,0060X00000aAjdf,2019.0,552016628
33341,0066700000oRSiL,2021.0,552016628
5699,0062000000Ubc00,2013.0,442395448
14447,0062000000hwW6V,2016.0,442395448
7410,0062000000dEaHN,2014.0,326820065
9390,0062000000hwWCh,2015.0,326820065
31726,0060X00000kQ7L2,2020.0,326820065
31582,0060X00000nAjmj,2020.0,602036444
23691,0060O00000rB2aJ,2018.0,333773174
33109,0066700000qm9av,2021.0,302715966
5949,0062000000VGwOc,2013.0,453952681
11415,0062000000gvFH8,2015.0,453952681
13143,0060O00000mruNG,2016.0,453952681
18274,0060O00000nXETr,2017.0,453952681
5673,0062000000VHHqz,2013.0,389191982
7448,0062000000VHHrE,2014.0,389191982
11711,0062000000VHHs3,2015.0,389191982
13336,0062000000jnYxW,2016.0,389191982
19007,0060O00000nXEW2,2017.0,389191982
27147,0060X00000e56Rq,2019.0,955501036
7908,0062000000W3jRM,2014.0,632045381
14596,0062000000hNy4F,2016.0,632045381
5694,0062000000Rmtvp,2013.0,441133808
11738,0062000000apYt1,2015.0,441133808
13366,0062000000hvksS,2016.0,441133808
21422,0060O00000uiYJV,2018.0,441133808
7089,0062000000WaCqK,2014.0,775709702
11023,0062000000hwLIV,2015.0,775709702
7339,0062000000W3jLE,2014.0,307570747
12769,0062000000jzHxy,2016.0,307570747
20919,0060O00000vuj59,2018.0,444786511
27375,0060X00000cRhTR,2019.0,444786511
29748,0066700000oPXci,2020.0,444786511
9492,0062000000fgmdF,2015.0,357200054
23721,0060O00000tcuIX,2018.0,357200054
32049,0060X00000jnvM8,2020.0,317218758
33169,0066700000qqLuR,2021.0,317218758
19445,0060O00000pmKwF,2018.0,447800475
15391,0060O00000nWyjv,2017.0,432766947
23695,0060O00000tc0Ve,2018.0,432766947
24168,0060X00000cRhVJ,2019.0,432766947
31678,0060X00000mdf2L,2020.0,432766947
5269,0062000000TYSmC,2013.0,319267134
22107,0060O00000sshnk,2018.0,319267134
32805,0060X00000bAacm,2020.0,319267134
20112,0060O00000ssvQx,2018.0,349505370
7902,0062000000ZO4hy,2014.0,702012956
24738,0060O00000sAhQP,2019.0,702012956
32258,0060O00000wgldJ,2020.0,702012956
24348,0060X00000cQmtW,2019.0,775661390
24288,0060O00000sAhU0,2019.0,016250029
11645,0062000000ecBfE,2015.0,319632790
18834,0060O00000lp7Wa,2017.0,319632790
21224,0060O00000stFiw,2018.0,352383715
27427,0060X00000cQKeQ,2019.0,572067684
20124,0060O00000rB2dE,2018.0,348607417
27772,0060X00000b8L3E,2019.0,348607417
13342,0060O00000lp2My,2016.0,552119216
32126,0060X00000n3UH5,2020.0,378901946
31588,0066700000nrXLu,2020.0,326300159
11693,0062000000hunSs,2015.0,347384570
21356,0060O00000tcZhn,2018.0,347384570
27625,0060O00000ujTdi,2019.0,335480265
31998,0060X00000mdf0U,2020.0,335480265
11251,0062000000dHJeW,2015.0,552046955
10770,0062000000hwKPP,2015.0,424059822
19355,0060X00000ac35y,2018.0,383699048
27774,0060X00000eCPRR,2019.0,383986874
27241,0060X00000avcZM,2019.0,876580077
24451,0060X00000bC29G,2019.0,305207169
7680,0062000000apD5v,2014.0,517741302
20583,0060O00000rCRkb,2018.0,379041395
17463,0060O00000pl9gl,2017.0,777588302
5664,0062000000cOoi8,2013.0,778127613
7424,0062000000cOohP,2014.0,778127613
11699,0062000000ftqkI,2015.0,778127613
13312,0062000000jnYxl,2016.0,778127613
18986,0060O00000nXESQ,2017.0,778127613
11307,0062000000dwsZu,2015.0,393341516
20368,0060O00000nEoQt,2018.0,393341516
23784,0060O00000ploLo,2018.0,410349070
15469,0060O00000mrTvz,2017.0,632050019
23710,0060O00000stPAd,2018.0,632050019
24246,0060O00000vtWOa,2019.0,632050019
9294,0062000000gvtPy,2015.0,775633357
15331,0060O00000nXWbD,2017.0,775633357
24108,0060X00000hOtHA,2019.0,775633357
5616,0062000000TZf2y,2013.0,552008443
31884,0060X00000ac16q,2020.0,552008443
32826,0060X00000m9zGI,2020.0,542023841
15895,0060O00000nR3Th,2017.0,305800997
22155,0060O00000st9SJ,2018.0,440117620
5583,0062000000O2IUT,2013.0,439067612
7286,0062000000O2IV2,2014.0,439067612
11594,0062000000ftoAW,2015.0,439067612
5595,0062000000O4TkP,2013.0,562053173
7298,0062000000O4U5T,2014.0,562053173
11618,0062000000eaPI4,2015.0,562053173
13186,0062000000fgK4b,2016.0,562053173
18774,0062000000fgK6w,2017.0,562053173
21170,0060O00000tc0W3,2018.0,562053173
27301,0060X00000cStTq,2019.0,562053173
31758,0060X00000mdedD,2020.0,562053173
10950,0062000000gYgyJ,2015.0,552065187
5706,0062000000VIL5m,2013.0,335186094
7538,0062000000cMHsr,2014.0,335186094
11771,0062000000fto84,2015.0,335186094
13432,0062000000jnYxY,2016.0,335186094
19280,0060O00000nWiRW,2017.0,335186094
21512,0060O00000stAnm,2018.0,335186094
27649,0060X00000bcls8,2019.0,335186094
32004,0060X00000m76It,2020.0,335186094
19361,0060O00000ui0rh,2018.0,483790069
26094,0060O00000ukEw4,2019.0,483790069
11944,0062000000hIQE2,2015.0,419683818
23758,0060O00000vtdwE,2018.0,420624777
24528,0060X00000cRhXP,2019.0,420624777
32129,0066700000r2d3i,2020.0,420624777
19324,0060O00000vtduh,2018.0,329211734
26738,0060X00000cRhXO,2019.0,329211734
24390,0060X00000eCOOl,2019.0,338154610
16811,0060O00000nRa27,2017.0,320353576
6739,0062000000f4zjJ,2014.0,323932236
17319,0060O00000mGMjN,2017.0,323932236
21876,0060O00000sAmMj,2018.0,493322978
16763,0060O00000nX0zu,2017.0,434317293
11950,0062000000ar7xY,2015.0,422950865
23800,0060O00000uh3TD,2018.0,056502248
24720,0060X00000cSs6W,2019.0,056502248
32249,0060X00000mdiPD,2020.0,056502248
8562,0062000000W62QG,2014.0,344496252
10740,0062000000a695O,2015.0,344496252
15026,0062000000f7e5F,2016.0,344496252
16975,0060O00000mrOwv,2017.0,344496252
10800,0062000000eduRq,2015.0,957520901
15036,0060O00000mr0ik,2016.0,957520901
24015,0060O00000raDtM,2018.0,957520901
9834,0062000000ebYh6,2015.0,314093352
5807,0062000000ZRHml,2013.0,440294510
7774,0062000000dxGYe,2014.0,440294510
23735,0060O00000s9uKa,2018.0,349039958
7626,0062000000dyRlF,2014.0,784939688
23746,0060O00000srvyh,2018.0,784939688
24444,0060X00000cTZBv,2019.0,784939688
6293,0062000000cMmAh,2014.0,321514002
15673,0060O00000nEiVz,2017.0,572185684
11939,0062000000dv1rP,2015.0,967505967
20406,0060O00000sBWYu,2018.0,967505967
27883,0060X00000j8om2,2019.0,967505967
18748,0060O00000nWWcr,2017.0,533247979
21166,0060O00000tcmBM,2018.0,533247979
29893,0066700000oqcmy,2020.0,533247979
32731,0060X00000cRmWC,2020.0,542051826
27487,0060X00000apwob,2019.0,562038893
4038,0062000000JpQ11,2013.0,388202533
7296,0062000000ZPCP0,2014.0,388202533
11035,0062000000cNGu3,2015.0,338481955
5729,0062000000TbTmu,2013.0,056800659
7558,0062000000a5Bog,2014.0,056800659
10397,0062000000dxMLk,2015.0,056800659
14483,0062000000jnZ1E,2016.0,056800659
16727,0060O00000nXEW3,2017.0,056800659
20985,0060O00000tc0RA,2018.0,056800659
27441,0060X00000cSsXw,2019.0,056800659
29808,0060X00000jrNl2,2020.0,056800659
32019,0066700000nuOtb,2020.0,775671258
23773,0060O00000uimIS,2018.0,313642548
7441,0062000000WYZr3,2014.0,434691192
9444,0062000000iVF7I,2015.0,552091795
7624,0062000000W3qx3,2014.0,702042755
27543,0060X00000hNXUU,2019.0,702042755
1668,0066700000pg88Y,2021.0,302588462
24144,0060X00000bjyH5,2019.0,302588462
31666,0060X00000leA8l,2020.0,302588462
17797,0060O00000pmHWx,2017.0,562033068
4136,0062000000JJPO5,2013.0,325307106
16739,0060O00000plcUS,2017.0,432413599
4068,0062000000VGwLn,2013.0,552069791
7356,0062000000ZPCPP,2014.0,552069791
9336,0062000000guKFk,2015.0,552069791
13615,0062000000jnYxI,2016.0,552069791
15397,0060O00000nXEXP,2017.0,552069791
23696,0060O00000tc0Pb,2018.0,552069791
24174,0060X00000cRhVE,2019.0,552069791
31684,0060X00000mdf0V,2020.0,552069791
17617,0060O00000nXHgt,2017.0,706580149
6833,0062000000X4wgJ,2014.0,782369409
20954,0060O00000pmtr1,2018.0,402103907
27265,0060O00000vsK5L,2019.0,379821994
5951,0062000000Yvdjo,2013.0,702027376
7325,0062000000XjGWS,2014.0,702027376
11424,0062000000dxNnB,2015.0,702027376
13155,0062000000iths3,2016.0,702027376
18292,0060O00000mrfga,2017.0,702027376
20566,0060O00000uhXQY,2018.0,702027376
27737,0060X00000atgEW,2019.0,702027376
29437,0060X00000mdegb,2020.0,702027376
8487,0062000000a5no7,2014.0,315999201
10602,0062000000f6isZ,2015.0,315999201
25620,0060O00000ujd4C,2019.0,315999201
4321,0062000000KiuD2,2013.0,420950875
8090,0062000000KiuD7,2014.0,420950875
9764,0062000000KiuDH,2015.0,420950875
14707,0062000000jnZik,2016.0,420950875
32926,0066700000oRWUp,2020.0,478921612
14554,0062000000jxz8g,2016.0,775726417
17583,0060O00000p0Vau,2017.0,854800745
19548,0060O00000vvPSm,2018.0,854800745
24031,0060O00000uhWtq,2018.0,389191800
10585,0062000000jnPah,2015.0,562011742
5188,0062000000VHT0V,2013.0,775664873
6693,0062000000arKEn,2014.0,775664873
10645,0062000000f790o,2015.0,775664873
12576,0062000000jyWig,2016.0,775664873
17545,0060O00000nXNw9,2017.0,775664873
21891,0060O00000stPFc,2018.0,775664873
32710,0066700000nuFdB,2020.0,440055861
31606,0066700000of5m2,2020.0,653820530
22197,0060O00000st1yV,2018.0,700200983
23716,0060O00000ui9um,2018.0,496680018
24282,0060X00000cSsOa,2019.0,496680018
31816,0060X00000mVCfm,2020.0,496680018
10939,0062000000gbz2K,2015.0,597020841
22239,0060O00000pmITg,2018.0,597020841
16349,0060X00000jq0xL,2017.0,482930385
20607,0060X00000jq0v5,2018.0,482930385
27069,0060X00000hQCPB,2019.0,482930385
29466,0060X00000mdiwD,2020.0,482930385
7422,0062000000W3qk0,2014.0,775614308
19368,0060O00000ra5zv,2018.0,329198337
5574,0062000000Rmu2b,2013.0,642058739
19282,0060O00000ssjwx,2017.0,417350311
27917,0060O00000srnj1,2019.0,538695040
5953,0062000000W3pRi,2013.0,575680350
11439,0062000000dxFx8,2015.0,575680350
13173,0062000000hwLHw,2016.0,575680350
18310,0060O00000nXEXf,2017.0,575680350
20596,0060O00000s8KH1,2018.0,575680350
5353,0062000000Ua6VC,2013.0,325821072
7185,0060O00000nWpA3,2014.0,325821072
11119,0062000000hwXib,2015.0,325821072
12984,0060O00000msSgn,2016.0,325821072
22413,0060O00000srsny,2018.0,325821072
21242,0060O00000uhxKA,2018.0,383960135
15385,0060O00000nXLsQ,2017.0,412630105
23693,0060O00000s7qbs,2018.0,412630105
15925,0062000000lczPR,2017.0,349942458
5717,0062000000VGB9A,2013.0,340709534
7498,0062000000VGB9y,2014.0,340709534
16697,0060O00000nX6jd,2017.0,340709534
33342,0066700000o1F4V,2021.0,340709534
20930,0060O00000ra4QL,2018.0,097050033
13813,0060O00000nWQM0,2016.0,477180186
24438,0060X00000bjyJk,2019.0,477180186
33035,0066700000pYT1g,2021.0,477180186
7428,0062000000W5z7W,2014.0,698800935
9420,0062000000dFqCZ,2015.0,698800935
13657,0062000000jy3Sj,2016.0,698800935
15445,0060O00000nXNwY,2017.0,698800935
23705,0060O00000ujAZM,2018.0,698800935
24234,0060X00000cSscI,2019.0,698800935
31750,0060X00000mVDGM,2020.0,698800935
10545,0062000000f5fk7,2015.0,388380073
5747,0062000000TYSMd,2013.0,491372702
10427,0062000000gtb0i,2015.0,487650632
6817,0062000000dxELJ,2014.0,325720720
27034,0060X00000e3TXb,2019.0,325720720
28616,0066700000paK0V,2020.0,325720720
