,siren,year,type,title,n_patents
0,526020482,2011.0,,"Self-locking device for automatic locking of drum in winch for lifting load, has ring arranged to be active when toothed wheel rotates in direction of rotation, and inactive when toothed wheel rotates in another direction of rotation",1.0
1,526020482,2012.0,,"Method for managing electrical motor of towing device e.g. winch to operate door, involves measuring electric parameters of electrical motor, and adjusting instruction speed according to measured electric parameter",1.0
2,526020482,2016.0,,TREUIL A ENROULEMENT FACILITE,1.0
3,526020482,2016.0,,SCENERY-MANOEUVRING APPARATUS,4.0
4,508178381,,,,
5,508293461,2013.0,,THERMODYNAMIC SYSTEM FOR STORING/PRODUCING ELECTRICAL ENERGY,6.0
6,508293461,2011.0,,VANE PUMP AND VANE TURBINE,2.0
7,508293461,2016.0,,ICE-BASED THERMAL ENERGY STORAGE DEVICE,6.0
8,508473659,,,,
9,508694213,,,,
10,508916186,,,,
11,528695166,2014.0,,SPECTROSCOPIC ANALYSIS DEVICE FOR DRILLING CORES,2.0
12,528695166,2014.0,,"MOBILE SPECTROSCOPIC ANALYSIS DEVICE, IN PARTICULAR FOR GEOLOGICAL ANALYSES",2.0
13,509027702,,,,
14,509086872,,,,
15,528850258,,,,
16,509652608,,,,
17,529369852,,,,
18,529462806,2011.0,,"Double-layered pellet, useful for treating water in swimming pool, comprises two layers of compacted powder product of which one includes an oxidizing compound in the form of powder and the other includes a reducing organic compound",1.0
19,510876626,,,,
20,529696676,,,,
21,511432106,,,,
22,511462517,,,,
23,530056324,2010.0,,Arrangement of blades of a rotary mobile such as a marine turbine,2.0
24,530056324,2013.0,,MODULAR DIVERTED-FLOW MARINE CURRENT TURBINE WITH MULTIPLE CONFIGURATIONS,2.0
25,512660051,,,,
26,512694415,,,,
27,535056816,2014.0,,"PLANT EXTRACT COMPRISING SUCROSE ESTERS AS AN ACTIVE AGENT FOR USE IN A COSMETIC, DERMATOLOGICAL OR NUTRICOSMETIC COMPOSITION",8.0
28,535121933,2015.0,,METHOD FOR IMPLANTING CELL CLUMPS IN A SKIN EXPLANT,3.0
29,535121933,2017.0,journal-article,,
30,535121933,2012.0,,SYSTEM FOR KEEPING ALIVE AND TRANSPORTING SKIN BIOPSIES AND APPLICATIONS OF SAID SYSTEM,7.0
31,535121933,2017.0,,EX-VIVO MODEL OF INFLAMED HUMAN SKIN AND USES THEREOF FOR SCREENING ANTI-INFLAMMATORY COMPOUNDS,5.0
32,535121933,2018.0,,EX VIVO SUBCUTANEOUS INJECTION MODEL,3.0
33,535167415,,,,
34,535211627,,,,
35,535278501,2012.0,,"Wireless universal touch pad for use by persons at e.g. office to access e.g. home care service, has band-width measurement software allowing selection of connection mode toward external network to opt for best quality of choice of network",1.0
36,513777714,,,,
37,513780296,2010.0,,CAPSTAN COMPRISING MEANS OF ASSESSING THE TENSION OF A LINE WRAPPED AROUND IT AND MEANS OF AUTOMATICALLY SELECTING AT LEAST ONE SPEED ACCORDING TO SAID TENSION,7.0
38,513780296,2014.0,,HIGH POWER COMPACT CAPSTAN,2.0
39,513780296,2016.0,,MOTOR-ASSISTED CAPSTAN,2.0
40,513780296,2011.0,,CAPSTAN COMPRISING MEANS FOR UNBLOCKING THE ROTATION OF THE HEAD IN THE UNWINDING DIRECTION,4.0
41,513780296,2013.0,,AUTOMATIC CAPSTAN WITH SYSTEMATIC TAKE-UP,3.0
42,513812958,,,,
43,514073998,,,,
44,788560787,,,,
45,788712859,,,,
46,789316163,2013.0,,CHARGE BALANCING IN AN ELECTRIC BATTERY,5.0
47,537839235,,,,
48,789611381,2014.0,,METHOD FOR PRODUCING (BROMOMETHYL)CYCLOPROPANE AND (BROMOMETHYL)CYCLOBUTANE,4.0
49,789611381,2014.0,,SOOTHING PRO-PHEROMONAL COMPOSITION FOR MAMMALS,4.0
50,789611381,2015.0,,PARTICLES CONTAINING PHEROMONES AND PRODUCTION PROCESS,6.0
51,789611381,2015.0,,SOLID COMPOSITION FOR THE DELIVERY OF SEMIOCHEMICAL SUBSTANCES,2.0
52,789611381,2018.0,,ADDUCTS OF TRIPHENYLPHOSPHINE AND TRIPHENYLPHOSPHITE AND THEIR USE FOR THE BROMINATION OF PRIMARY ALCOHOLS,2.0
53,789611381,2017.0,,NOUVEAU PROCEDE DE FABRICATION DU RESORCINOL,1.0
54,789611381,2017.0,,CONTROLLED-DIFFUSION SEMIOCHEMICAL COMPOSITION,2.0
55,789611381,2017.0,,USE OF FLUOROETHYLNORMEMANTINE FOR THE PREVENTION AND TREATMENT OF ANXIETY,3.0
56,789611381,2015.0,,OXO-DEGRADABLE PROJECTILES CONTAINING PHEROMONES,7.0
57,789611381,2013.0,,PROCESS FOR THE INDUSTRIAL SYNTHESIS OF SORDIDIN,6.0
58,789611381,2014.0,,"NOVEL METHOD FOR PRODUCING (E,Z)-7,9 DODECADIENYL-1-ACETATE",6.0
59,538193293,,,,
60,790059869,,,,
61,538877218,,,,
62,790710735,,,,
63,790736383,,,,
64,791027568,,,,
65,539201244,,,,
66,791352933,,,,
67,539550517,,,,
68,539656439,,,,
69,540070018,,,,
70,542052766,,,,
71,542066113,2010.0,,Fluid sensor and method of using same,5.0
72,542066113,2010.0,,Fluid sensor and method of using same,5.0
