numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200710692W;Institut Pluridisciplinaire de recherche appliquée en génie pétrolier;IPRA;2005;Structures Fédératives de Recherche;3;3;https://ipra.univ-pau.fr/fr/index.html;Avenue de l'Université - BP1155;64013;PAU CEDEX;MOONEN;Peter;;";FR 2952";"Université Pau et Pays de l'Adour;Centre national de la recherche scientifique";"PAU;CNRS";"UNIV;EPST";"Université;Organismes de type EPST";"0640251A;0753639Y";"19640251500270;18008901303720";"TUTE;TUTE";"établissement tutelle;établissement tutelle";"201121821A;201119411F;199513639B;200511822H;200311828Y";;;;;;"1;3;8";"Mathématiques et leurs interactions;Sciences de la terre et de l'univers, espace;Sciences pour l'ingénieur";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710692W&PUBLIC=OK
200710696A;INSTITUT DE CHIMIE DE LYON;ICL;2007;Structures Fédératives de Recherche;3;3;http://www.iclyon.fr/;43 Boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;"ANDRIOLETTI;PINEL";"Bruno;Catherine";"DIR;Directrice adjointe";";;FR 3023;;FR 3023;;;;";"Université Jean Monnet Saint-Etienne;Institut National des Sciences Appliquées Lyon;Université Claude Bernard Lyon 1;Ecole Supérieure de Chimie Physique Electronique de Lyon;Centre national de la recherche scientifique;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Ecole Normale Supérieure de Lyon;Centre National d'Etude Spatiales;Arianegroup SAS";"SAINT-ETIENNE;INSA LYON;LYON 1;CPE LYON;CNRS;INRAE;ENS LYON;CNES;ARIANEGROUP";"UNIV;AUT_ETAB;UNIV;AUT_ETAB;EPST;EPST;AUT_ETAB;EPIC;PRIVE";"Université;Autres établissements ESR;Université;Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Autres établissements ESR;Organismes de type EPIC;Société de droit privé française";"0421095M;0690192J;0691774D;0693623N;0753639Y;;0694123G;0752743Z;";"19421095100423;19690192000013;19691774400019;39189510900026;18008901303720;18007003901803;13000812100019;77566591200082;51903224700123";"TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;PART;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant";"202123703C;201320570G;201119453B;200711921G;200711911W;200711890Y;200311854B;199911703E;199512045U;199411772B;197311954R";;;;;;"2;4;5;8";"Physique;Chimie;Biologie, médecine et santé;Sciences pour l'ingénieur";PE5;Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710696A&PUBLIC=OK
200810702C;Fédération de recherche pour l'environnement et le développement durable;FR EDD;2008;Structures Fédératives de Recherche;3;3;http://fredd.univ-larochelle.fr/;23 avenue Albert EINSTEIN - BP 33060;17031;LA ROCHELLE CEDEX;"ROUVELLAC;GARCIA";"Eric;Pascale";"DIR-ADJ;DIR";";;;FR 3097;";"Université La Rochelle;Université Poitiers;Université Limoges;Centre national de la recherche scientifique;Institut Francais de Recherche pour l'Exploitation de la Mer";"LA ROCHELLE;POITIERS;LIMOGES;CNRS;IFREMER";"UNIV;UNIV;UNIV;EPST;EPIC";"Université;Université;Université;Organismes de type EPST;Organismes de type EPIC";"0171463Y;0860856N;0870669E;0753639Y;0922262J";"19170032700015;19860856400375;19870669900321;18008901303720;33071536800032";"TUTE;TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";;;;;;;"8;10";"Sciences pour l'ingénieur;Sciences agronomiques et écologiques";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810702C&PUBLIC=OK
201521769B;Computational Anatomy and Simulation for Medicine;MIMESIS;2015;Unité propre;21;2;http://www.inria.fr/equipes/mimesis;;54600;Villers lès Nancy;Cotin;Stephane;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521769B&PUBLIC=OK
200710646W;Matière et Nanosciences;;2003;Structures Fédératives de Recherche;3;3;http://www.cnano-rhone-alpes.org/;17 rue des martyrs;38054;GRENOBLE CEDEX 9;SANQUER;Marc;DIR;"FR 2601;FR 2601";"Commissariat à l'énergie atomique et aux énergies alternatives;Université Grenoble Alpes";"CEA;GRENOBLE ALPES";"EPIC;UNIV";"Organismes de type EPIC;Université";"0912281K;0383546Y";"77568501900587;13002608100013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;2;Physique;PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710646W&PUBLIC=OK
200610662T;Institut de recherche en sciences et techniques de la ville;IRSTV;2002;Structures Fédératives de Recherche;3;3;https://irstv.ec-nantes.fr/;1 rue de la Noë;44321;NANTES CEDEX 3;"INARD;CALMET;MUSY;BECHET";"Christian;Isabelle;Marjorie;Béatrice";"DIR-ADJ;DIR-ADJ;DIR-ADJ;DIR";";;;;;FR 2488;;;;FR 2488;;FR 2488;";"Université La Rochelle;Ecole Centrale de Nantes;Ecole Nationale Supérieure d'Architecture de Nantes;Université Nantes;Le Mans Université;Centre national de la recherche scientifique;Institut mines télécom;Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire;Université Gustave Eiffel;Conservatoire National des Arts et Métiers Paris;Centre Scientifique et Technique du Bâtiment;BRGM;Agrocampus Ouest";"LA ROCHELLE;EC. CENTRALE NANTES;EC. ARCHI. NANTES;NANTES;LE MANS;CNRS;MinesTélécom;IMT Atlantique;UNIV.G.EIFFEL;CNAM PARIS;CSTB;BRGM;AGROCAMPUS OUEST";"UNIV;AUT_ETAB;AUT_ETAB;UNIV;UNIV;EPST;AUT_ETAB;AUT_ETAB;UNIV;AUT_ETAB;EPIC;EPIC;AUT_ETAB";"Université;Autres établissements ESR;Autres établissements ESR;Université;Université;Organismes de type EPST;Autres établissements ESR;Autres établissements ESR;Université;Autres établissements ESR;Organismes de type EPIC;Organismes de type EPIC;Autres établissements ESR";"0171463Y;0440100V;0440104Z;0440984F;0720916E;0753639Y;0755661W;0292355C;0772894C;0753471R;0942226J;0755363X;0352692L";"19170032700015;19440100600011;19440104800021;19440984300019;19720916600010;18008901303720;18009202500089;18009202500121;13002612300013;19753471200017;77568822900027;40070693300019;13000512700019";"TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;PART;PART;PART;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant;établissement participant";;;;;;;"6;8";"Sciences humaines et humanités;Sciences pour l'ingénieur";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200610662T&PUBLIC=OK
200310671R;INSTITUT DE CHIMIE MOLECULAIRE DE GRENOBLE;ICMG;2003;Structures Fédératives de Recherche;3;3;http://icmg.univ-grenoble-alpes.fr/;570 rue de la chimie -ICMG-;38041;GRENOBLE CEDEX 9;DEFRANCQ;Eric;DIRECTEUR;"UAR 2607;";"Centre national de la recherche scientifique;Université Grenoble Alpes";"CNRS;GRENOBLE ALPES";"EPST;UNIV";"Organismes de type EPST;Université";"0753639Y;0383546Y";"18008901303720;13002608100013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";"200711915A;199911754K;196617508H";;;;;;4;Chimie;PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310671R&PUBLIC=OK
200410852H;Maison Asie Pacifique;MAP;1999;Unité mixte;22;2;http://www.maison-asie-pacifique.fr/;3 place Victor Hugo;13003;MARSEILLE;"BERTAUX-PICHARD;REVOLON";"Louise;Sandra";"DIR;Dir Adj";"UMS 1885;UMS 1885";"Centre national de la recherche scientifique;Université Aix-Marseille";"CNRS;AIX-MARSEILLE";"EPST;UNIV";"Organismes de type EPST;Université";"0753639Y;0134009M";"18008901303720;13001533200013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;"6;7";"Sciences humaines et humanités;Sciences de la société";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410852H&PUBLIC=OK
200410858P;Juriscope - accès aux droits étrangers et promotion du droit français et du droit francophone;Juriscope;2000;Structures Fédératives de Recherche;3;3;http://www.juriscope.org/;23 avenue René Cassin - BP 90164;86962;FUTUROSCOPE CEDEX - CHASSENEUIL DU POITOU;GAZEAU;Daniel;DIR;"UMS 2268;UMS 2268;UMS 2268";"Université Poitiers;Ministère de la justice;Ministère des affaires étrangères";"POITIERS;MIN.JUST;MIN.A.E.";"UNIV;AUT_OP_FR;AUT_OP_FR";"Université;Autre opérateur de droit français;Autre opérateur de droit français";"0860856N;;";"19860856400375;11001001400014;11000601200014";"TUTE;PART;PART";"établissement tutelle;établissement participant;établissement participant";;;;;;;7;Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410858P&PUBLIC=OK
200810873N;Observatoire des sciences de l'univers en région Centre-Val de Loire;OSUC;2008;Structures Fédératives de Recherche;3;3;http://www.univ-orleans.fr/osuc/;1 A rue de la Férolerie;45071;ORLEANS CEDEX 2;MOREIRA;Manuel;Directeur;"UMS 3116;UMS 3116;UMS 3116;UMS 3116";"Université Orléans;Centre national de la recherche scientifique;Observatoire Paris;Université Paris sciences et lettres";"ORLEANS;CNRS;OBSV.PARIS;PSL";"UNIV;EPST;AUT_ETAB;UNIV";"Université;Organismes de type EPST;Autres établissements ESR;Université";"0450855K;0753639Y;0753496T;0756036D";"19450855200016;18008901303720;19753496900013;13002614900018";"TUTE;TUTE;PART;PART";"établissement tutelle;établissement tutelle;établissement participant;établissement participant";"201220223J;201220213Y;199519805D";;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810873N&PUBLIC=OK
